Type,Transaction,Date / Time (UTC),Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Details
Cashback,TXN001001,2024-01-15 10:30:00,NEXO,12.5,,,12.50,Card Cashback
Nexo Card Purchase,TXN001002,2024-01-15 10:25:00,USD,-205.00,EUR,195.00,205.00,approved / Grocery Store
Cashback,TXN001003,2024-01-20 14:15:00,NEXO,15.0,,,15.00,Card Cashback
Nexo Card Purchase,TXN001004,2024-01-20 14:10:00,USD,-315.00,EUR,300.00,315.00,approved / Restaurant
Cashback,TXN001005,2024-02-10 09:45:00,NEXO,18.75,,,18.75,Card Cashback
Nexo Card Purchase,TXN001006,2024-02-10 09:40:00,USD,-300.00,EUR,285.00,300.00,approved / Supermarket
Exchange,TXN001007,2024-02-15 10:00:00,NEXO,-30.0,USD,90.00,90.00,Nexo Exchange
Cashback,TXN001008,2024-03-05 11:20:00,NEXO,22.0,,,22.00,Card Cashback
Nexo Card Purchase,TXN001009,2024-03-05 11:15:00,USD,-440.00,EUR,418.00,440.00,approved / Online Shopping
Exchange Liquidation,TXN001010,2024-03-10 15:30:00,EUR,-500.00,USD,525.00,525.00,Repay Card
Cashback,TXN001011,2024-04-01 08:00:00,NEXO,19.5,,,19.50,Card Cashback
Nexo Card Purchase,TXN001012,2024-04-01 07:55:00,USD,-390.00,EUR,371.00,390.00,approved / Utilities Bill
Interest,TXN001013,2024-04-15 10:00:00,NEXO,5.25,,,5.50,Interest
Cashback,TXN001014,2024-04-20 13:45:00,NEXO,16.25,,,16.25,Card Cashback
Nexo Card Purchase,TXN001015,2024-04-20 13:40:00,USD,-325.00,EUR,309.00,325.00,approved / Travel
Exchange,TXN001016,2024-05-10 11:30:00,NEXO,-25.0,USD,75.00,75.00,Nexo Exchange
Cashback,TXN001017,2024-05-15 14:50:00,NEXO,21.0,,,21.00,Card Cashback
Nexo Card Purchase,TXN001018,2024-05-15 14:45:00,USD,-420.00,EUR,399.00,420.00,approved / Electronics
Exchange Liquidation,TXN001019,2024-05-20 12:00:00,EUR,-600.00,USD,630.00,630.00,Repay Card
Interest,TXN001020,2024-06-01 08:00:00,NEXO,6.75,,,7.00,Interest
Cashback,TXN001021,2024-06-10 16:20:00,NEXO,20.0,,,20.00,Card Cashback
Nexo Card Purchase,TXN001022,2024-06-10 16:15:00,USD,-400.00,EUR,380.00,400.00,approved / Shopping
Exchange,TXN001023,2024-06-20 09:00:00,NEXO,-40.0,USD,120.00,120.00,Nexo Exchange
Cashback,TXN001024,2024-07-08 09:30:00,NEXO,23.5,,,23.50,Card Cashback
Nexo Card Purchase,TXN001025,2024-07-08 09:25:00,USD,-470.00,EUR,447.00,470.00,approved / Coffee Shop
Exchange Liquidation,TXN001026,2024-07-15 13:45:00,EUR,-700.00,USD,735.00,735.00,Repay Card
Cashback,TXN001027,2024-08-25 14:50:00,NEXO,25.0,,,25.00,Card Cashback
Nexo Card Purchase,TXN001028,2024-08-25 14:45:00,USD,-500.00,EUR,475.00,500.00,approved / Home Improvement
Interest,TXN001029,2024-09-01 08:00:00,NEXO,7.5,,,8.00,Interest
Cashback,TXN001030,2024-09-15 10:15:00,NEXO,18.75,,,18.75,Card Cashback
Nexo Card Purchase,TXN001031,2024-09-15 10:10:00,USD,-375.00,EUR,356.00,375.00,approved / Books & Media
Exchange,TXN001032,2024-10-05 11:30:00,NEXO,-35.0,USD,105.00,105.00,Nexo Exchange
Cashback,TXN001033,2024-10-12 10:15:00,NEXO,20.0,,,20.00,Card Cashback
Nexo Card Purchase,TXN001034,2024-10-12 10:10:00,USD,-400.00,EUR,380.00,400.00,approved / Health & Fitness
Exchange Liquidation,TXN001035,2024-10-20 13:45:00,EUR,-800.00,USD,840.00,840.00,Repay Card
Cashback,TXN001036,2024-11-18 15:35:00,NEXO,24.0,,,24.00,Card Cashback
Nexo Card Purchase,TXN001037,2024-11-18 15:30:00,USD,-480.00,EUR,456.00,480.00,approved / Shopping Mall
Cashback,TXN001038,2024-12-20 12:00:00,NEXO,22.5,,,22.50,Card Cashback
Nexo Card Purchase,TXN001039,2024-12-20 11:55:00,USD,-450.00,EUR,427.00,450.00,approved / Year End Shopping
Exchange Liquidation,TXN001040,2024-12-30 16:20:00,EUR,-900.00,USD,945.00,945.00,Repay Card
